"Very High Voltage (kWh)";"High Voltage (kWh)";"Medium Voltage (kWh)";"Low Voltage (kWh)";"Total (kWh)";"temperature_2m (°C)";"relative_humidity_2m (%)";"precipitation (mm)";"apparent_temperature (°C)";"cloud_cover (%)";"surface_pressure (hPa)";"wind_speed_10m (km/h)";"Diffuse_Radiation";"Direct_Radiation";"wind_speed_100m (km/h)";"wind_direction_10m (°)";"wind_direction_100m (°)";"wind_gusts_10m (km/h)";"terrestrial_radiation (W/m²)";"Consumptions";"year";"month";"day_of_year";"day_of_week";"hour";"estacao_ano";"weekend"
34045.1896;130371.63785;208215.14675;944781.39436775;1317413.36856775;14.1;54;0;12.4;0;999;4;"Low";"Medium";5;108;116;18;684;"Medium Consumption";2025;1;1;4;13;"Winter";0
34611.863375;132759.304275;211051.480975;864740.8322715;1243163.4808965;14.9;50;0;13.1;0;998.55;3.4;"Low";"Medium";4.2;106;110;15.1;655.2;"Low Consumption";2025;1;1;4;14;"Winter";0
35672.9141;134693.3806;222884.90005;860965.01363025;1254216.20838025;15.1;49;0;13.2;0;998.1;3.15;"Low";"Low";4.5;119;119;13.7;558.7;"Low Consumption";2025;1;1;4;15;"Winter";0
34738.779925;139944.836075;244217.2285;899306.90366625;1318207.74816625;14.8;50;0;13.1;1;998.4;2.9;"Low";"Low";3.5;90;102;12.6;401.1;"Medium Consumption";2025;1;1;4;16;"Winter";0
35188.329275;148689.48385;267717.85745;1024966.68007775;1476562.35065275;12.6;64;0;11.4;0;998.3;1.7;"Low";"Low";4.3;32;48;7.9;192.9;"Medium-High Consumption";2025;1;1;4;17;"Winter";0
35463.5271;151400.29315;277865.87575;1209797.9242210002;1674527.6202210002;10;75;0;8.4;0;998.3;3.8;"None";"None";8.5;11;24;5.4;58.9;"Medium-High Consumption";2025;1;1;4;18;"Winter";0
34847.638225;148444.3491;273610.5647;1299177.329575;1756079.8816;8.5;82;0;7.233333333333334;0;998.5;5.5;"None";"None";11.5;67;59;7.9;0;"Medium-Low Consumption";2025;1;1;4;19;"Winter";0
35789.847775;147647.79989999998;269543.876025;1333665.389572;1786646.913272;7.6;87;0;6.066666666666667;0;998.8;6.8;"None";"None";15.9;88;84;9.7;0;"Medium-Low Consumption";2025;1;1;4;20;"Winter";0
35558.460475;146498.17025;265526.241125;1292432.71396075;1740015.58581075;7;90;0;4.9;0;999.1;6.5;"None";"None";17;76;80;11.5;0;"Medium-Low Consumption";2025;1;1;4;21;"Winter";0
35175.612225;144490.34315;258559.6155375;1196794.011714;1635019.5826265002;6.4;91;0;4.6;0;999.3;4.4;"None";"None";13.3;81;81;10.1;0;"Medium-High Consumption";2025;1;1;4;22;"Winter";0
35153.420849999995;142034.841825;251592.98995;1045639.64445125;1474420.89707625;6.2;91;0;4.4;0;999.4;3.6;"None";"None";12.2;90;92;6.1;0;"Medium-High Consumption";2025;1;1;4;23;"Winter";0
39576.363;142904.3363;250685.232175;927243.2409174166;1360409.1723924167;6.1;91;0;4.5;91;999.3;2.4;"None";"None";8.9;77;104;5.199999999999999;0;"Medium Consumption";2025;1;2;5;0;"Winter";0
53394.5041;143188.1043;249671.394825;808846.8373835833;1255100.8406085833;5.7;90;0;3.8;0;998.9;2.9;"None";"None";6.7;79;126;4.3;0;"Low Consumption";2025;1;2;5;1;"Winter";0
58333.617625;143476.564675;246100.388875;690450.43384975;1138361.00502475;4.8;93;0;2.6;0;998.6;4.7;"None";"None";9.5;106;141;6.8;0;"Low Consumption";2025;1;2;5;2;"Winter";0
58945.419275;145817.546025;245667.725425;651108.4116105;1101539.1023355;4.15;94;0;2.2;0;998.6;3.6;"None";"None";8.6;93;144;7.6;0;"Low Consumption";2025;1;2;5;3;"Winter";0
58627.25985;146288.22095;248435.0825;633113.317984;1086463.881284;3.5;97;0;1.4;0;998.6;3.5;"None";"None";6.7;93.75;133.25;5.4;0;"High Consumption";2025;1;2;5;4;"Winter";0
61954.732125;147840.522475;262730.9899;634313.593175;1106839.837675;3.1;97;0;0.7;91;998.2;5.1;"None";"None";9.8;84;123;7.2;0;"Low Consumption";2025;1;2;5;5;"Winter";0
60432.951175;155829.0483625;305893.427725;670044.15409525;1192199.58135775;2.9;97;0;0.4;7;998;5.4;"None";"None";12.9;92;125;8.6;0;"Low Consumption";2025;1;2;5;6;"Winter";0
60153.4397;163817.57425;365931.133325;760288.2253837499;1350190.37265875;2.7;94.66666666666667;0;0.2;11;998.3;4.3;"None";"None";12.6;92;128;8.3;0;"Medium Consumption";2025;1;2;5;7;"Winter";0
62944.5528;166646.897325;456590.284475;862943.7414575;1549125.4760575;2.3;92.33333333333333;0;-0.2;15;998.6;5.2;"None";"None";13.5;88;124;11.15;5.5;"Medium-High Consumption";2025;1;2;5;8;"Winter";0
64277.350225;164873.44935;508216.315125;972221.71694275;1709588.8316427502;5.1;90;0;2.85;0;999.3;8.3;"Low";"None";14.3;108;129;14;152;"Medium Consumption";2025;1;2;5;9;"Winter";0
69224.5482;158249.7924;498089.8865;1025475.71334775;1751039.94044775;8.2;77;0;5.9;0;1000;6.9;"Low";"None";14.2;120;131;15.8;368;"Medium Consumption";2025;1;2;5;10;"Winter";0
77109.799625;154888.7266625;486719.40625;1038111.9611046667;1756829.8936421666;10.9;62;0;8.6;1;1000.5;6.3;"Low";"None";10.7;125;125;17.3;536;"Medium-Low Consumption";2025;1;2;5;11;"Winter";0
65199.023400000005;151527.660925;452628.461525;1050748.2088615834;1720103.3547115833;13.1;53;0;10.8;24;1000;5.7;"Low";"None";7.6;131;133;17.6;644.4;"Medium-Low Consumption";2025;1;2;5;12;"Winter";0
81528.454575;156711.5096;441008.02085;1063384.4566185;1742632.4416434998;14.8;49;0;12.4;8;999.4666666666667;7.3;"Low";"None";9.5;147;148;19.4;685.9;"Medium-Low Consumption";2025;1;2;5;13;"Winter";0
87698.622575;159218.685875;483038.845275;1052211.741625;1782167.8953500001;15.5;49;0;12.9;6;998.9333333333333;8.05;"Low";"None";11.8;154;154;21.6;657.7;"Medium-Low Consumption";2025;1;2;5;14;"Winter";0
78355.46471249999;165876.1914;511457.391625;1044686.02169225;1800375.06942975;14.6;50;0;13.2;4;998.4;8.8;"Low";"Medium";10.95;171;170;21.6;561.6;"Medium-Low Consumption";2025;1;2;5;15;"Winter";0
69012.30685;172885.15889999998;533242.64855;1055720.58305875;1830860.69735875;13.700000000000001;53;0;13;9;998.3;7.6;"Low";"None";10.1;177;177;19.8;404.3;"Medium-Low Consumption";2025;1;2;5;16;"Winter";0
62633.057025;177133.50955;531898.691175;1182192.12826625;1953857.3860162501;12.8;66;0;11.3;7;998.2;5;"None";"None";13.45;145;157;16;196.4;"High Consumption";2025;1;2;5;17;"Winter";0
46616.109800000006;181381.8602;499597.588425;1373248.80281825;2100844.36124325;10.8;74;0;9.600000000000001;60;998.2;7.5;"None";"None";16.8;143;152;12.2;29.6;"High Consumption";2025;1;2;5;18;"Winter";0
44113.9675;178984.831325;467296.485675;1493242.98186175;2183638.2663617497;10.1;77;0;7.9;18;998.4;8.7;"None";"None";20.2;158;160;14.8;0;"High Consumption";2025;1;2;5;19;"Winter";0
43799.5023375;179171.07385000002;443509.464075;1524987.44397575;2191467.48423825;9.4;81;0;7.066666666666667;0;998.7;9.4;"None";"None";21.5;168;168;16.2;0;"High Consumption";2025;1;2;5;20;"Winter";0
43485.037175;181902.4483;423038.559275;1437318.898744;2085744.943494;8.4;87;0;6.233333333333334;1;999;7.8;"None";"None";20.2;185;177;15.8;0;"Medium-High Consumption";2025;1;2;5;21;"Winter";0
59194.476975;180295.632175;394566.72775;1299009.9414015;1933066.7783015;7.4;90;0;5.4;91;999.2;6.4;"None";"None";17.7;189;189;13;0;"High Consumption";2025;1;2;5;22;"Winter";0
82986.18612500001;176092.1576;368058.844975;1119489.31787225;1746626.50657225;6.9;90;0;4.9;5;999.1;4.8;"None";"None";14.8;200;189;10.4;0;"Medium-Low Consumption";2025;1;2;5;23;"Winter";0
85159.62395000001;173089.583025;345905.5534;958840.816678375;1562995.577053375;6.4;91.5;0;4.9;96;999.3;2.7;"None";"None";12.2;172;182;6.8;0;"Medium-High Consumption";2025;1;3;6;0;"Winter";1
84668.5749;171593.97814999998;336700.757825;798192.3154845;1391155.6263595;5.7;93;0;3.8;100;998.4;4.1;"None";"None";14;165;181;6.1;0;"Medium Consumption";2025;1;3;6;1;"Winter";1
83640.247775;170098.373275;327155.94;710098.8319937501;1290993.39304375;5.2;95;0;3.4;96;998.3;3.6;"None";"None";13.3;160;181;5.949999999999999;0;"Medium Consumption";2025;1;3;6;2;"Winter";1
84814.10792499999;170006.670275;322526.162675;663336.15910425;1240683.0999792502;4.7;97;0;2.8;91;998.2;3.3;"None";"None";12;131;171;5.8;0;"Low Consumption";2025;1;3;6;3;"Winter";1
86586.267175;168511.60805;320051.503575;643080.96989075;1218230.34869075;4;98.5;0;1.8;91;997.9000000000001;4.8;"None";"None";13.5;135;164;6.8;0;"Low Consumption";2025;1;3;6;4;"Winter";1
84267.9932;168283.61707500002;329671.4986;643016.52277925;1225239.63165425;3.7;100;0;1.4;100;997.6;5.1;"None";"None";14.1;144;165;7.9;0;"Low Consumption";2025;1;3;6;5;"Winter";1
77464.627625;173872.7760416667;373638.3230375;679485.1415305;1304460.8682346668;3.6;100;0;1.7;100;997.8;4.6;"None";"None";11.4;122;162;7.2;0;"Medium Consumption";2025;1;3;6;6;"Winter";1
67529.110475;179461.93500833333;417605.147475;770855.4696085;1435451.6625668332;3.7;100;0;1.6;100;997.9;4.1;"None";"None";12.2;127;163;5;0;"Medium Consumption";2025;1;3;6;7;"Winter";1
67702.196375;185051.093975;506421.023425;882660.686985;1641835.0007600002;3.8;97;0;1.8;94;997.8;3.6;"None";"None";12.1;135;165;5.4;5.4;"Medium-High Consumption";2025;1;3;6;8;"Winter";1
67063.87991250001;182581.0156;557011.232175;971866.828340625;1778522.9560281252;5.8;94;0;3.7;99;998.5;6.3;"Low";"None";11.5;141;170;10.8;188.5;"Medium-Low Consumption";2025;1;3;6;9;"Winter";1
66425.56345;175791.40625;550056.36905;1061072.96969625;1853346.30844625;8.6;83;0;6.8;98;999.2;5.6;"Low";"Low";11.8;138;168;13.3;368.4;"Medium-Low Consumption";2025;1;3;6;10;"Winter";1
64808.517575;173792.00319999998;546245.51415;1102000.3792695;1886846.4141945;11.6;70;0;10;89;999.7;4.7;"Low";"Low";9.2;140;159;14.8;536.9;"Medium-Low Consumption";2025;1;3;6;11;"Winter";1
77434.22905;175938.7302;515143.382825;1151721.72622075;1920238.0682957498;13.9;60;0;12.2;100;999.3;5.5;"Low";"Low";7.4;157;162;16.9;645.9;"High Consumption";2025;1;3;6;12;"Winter";1
80375.6063625;178393.29897499998;500666.766475;1146033.272361;1905468.9441735;14.4;59;0;12.8;91;998.7;5.6;"Low";"Low";7;155;157;16.2;687.9;"Medium-Low Consumption";2025;1;3;6;13;"Winter";1
83316.983675;180522.416275;534378.7676;1133043.000281;1931261.167831;15.3;54;0;13.4;52;998;6.25;"Low";"Low";8.1;156;159;17.3;660.2;"High Consumption";2025;1;3;6;14;"Winter";1
75335.683175;182307.84385;552775.927775;1111157.07394075;1921576.52874075;15.25;50;0;13.5;90;997.3;6.9;"Low";"Low";8.9;165;167;17.3;564.6;"High Consumption";2025;1;3;6;15;"Winter";1
66501.928125;185229.48945;554529.1819750001;1114849.8865925;1921110.4861424998;15.2;52;0;13.3;94;997.2;5.8;"Low";"Low";7.9;182;184;14.25;407.6;"High Consumption";2025;1;3;6;16;"Winter";1
48667.241375;185898.070025;537989.4925500001;1204099.3936225;1976654.1975725;13.1;65;0;11.4;63;997.1500000000001;2.3;"Low";"None";8.3;148;167;11.2;199.9;"High Consumption";2025;1;3;6;17;"Winter";1
45254.060125;186975.701525;501783.57055;1369401.0093755;2103414.3415755;11;70;0;9.5;15;997.1;3;"Low";"None";8.7;115;142;8.85;31.4;"High Consumption";2025;1;3;6;18;"Winter";1
43999.867025;186170.068775;470444.7006;1460590.1066435;2161204.7430435;9.7;76;0;8.05;33;997.5;4.8;"None";"None";11.033333333333331;138;142;6.5;0;"High Consumption";2025;1;3;6;19;"Winter";1
52799.661074999996;181666.15125;442290.318025;1471679.3912145;2148435.5215645;8.5;83;0;6.6;24;997.3;5.65;"None";"None";13.366666666666665;150;158;9.4;0;"High Consumption";2025;1;3;6;20;"Winter";1
61599.455125;183158.192875;419450.01135;1384422.16804725;2048629.82739725;7.7;88;0;5.7;3;997.4;6.5;"None";"None";15.7;157;177;10.4;0;"High Consumption";2025;1;3;6;21;"Winter";1
66806.9476;176672.240425;388401.79145;1258096.85414975;1889977.83362475;7.1;92;0;5;12;997.3;6.8;"None";"None";16.2;169;195;11.9;0;"Medium-Low Consumption";2025;1;3;6;22;"Winter";1
78777.0571;173518.972875;360127.07555;1101972.54172325;1714395.64724825;6.449999999999999;95;0;4.3;91;997.4;6.1;"None";"None";15.85;166;193;11.5;0;"Medium-Low Consumption";2025;1;3;6;23;"Winter";1
86530.17445;172080.516625;334555.7946;937021.49697;1530187.9826449999;5.8;97;0;3.8;24;997.2;6.4;"None";"None";15.5;155;175;10.8;0;"Medium-High Consumption";2025;1;4;7;0;"Winter";1
87447.19645;172959.0836;323499.793325;807929.0063070001;1391835.079682;5.55;96;0;3.7;16;996.6;6.9;"None";"None";17.4;160;174;11.5;0;"Medium Consumption";2025;1;4;7;1;"Winter";1
88441.75302500001;173745.68545;313098.9839;715048.049234;1290334.4716090001;5.3;96;0;3.2;10;996.2;6.4;"None";"None";16.8;153;170;11.5;0;"Medium Consumption";2025;1;4;7;2;"Winter";1
89436.30960000001;172540.365075;306790.71797500004;664592.56093275;1233359.9535827502;5.05;97;0;2.9;12;995.9;6.8;"None";"None";16.4;168;168;11.9;0;"Low Consumption";2025;1;4;7;3;"Winter";1
84855.941125;171070.921775;301248.8979;636589.18080125;1193764.94160125;4.8;97;0;2.5;30;995.6;6.4;"None";"None";15.5;144;165;11.5;0;"Low Consumption";2025;1;4;7;4;"Winter";1
86397.479075;172848.72547499998;302524.84160000004;627530.58649525;1189301.63264525;4.8;97;0;2.4;30;995.3;6.8;"None";"None";17.3;151;163;11.5;0;"Low Consumption";2025;1;4;7;5;"Winter";1
87845.71225;173117.36755000002;316954.630675;644479.558449;1222397.2689240002;5.1;97;0;2.6;97;995.2;8.5;"None";"None";20.8;152;162;14.4;0;"Low Consumption";2025;1;4;7;6;"Winter";1
83692.09270000001;170370.167675;336002.7596;698557.6689945001;1288622.6889695001;6.2;97;0;3.5;100;995.4;10.7;"None";"None";23;150;156;18;0;"Medium Consumption";2025;1;4;7;7;"Winter";1
83495.359125;167708.7155;353490.45145;761738.57239075;1366433.09846575;6.8;95;0;4.2;91;995.3;11.5;"None";"None";24.4;151;156;19.4;5.3;"Medium Consumption";2025;1;4;7;8;"Winter";1
79641.75185;162636.560175;356509.00792500004;870703.58111425;1469490.9010642502;8.85;93;0;5.5;99;995.8;13.7;"Low";"Low";25.5;155;160;24.799999999999997;151.9;"Medium-High Consumption";2025;1;4;7;9;"Winter";1
80944.955575;155600.9159;344056.8185;934982.6882723749;1515585.378247375;10.9;85;0;8.6;100;996.1;13.6;"Low";"Low";23.6;158;160;30.2;368.9;"Medium-High Consumption";2025;1;4;7;10;"Winter";1
84250.5819;153131.649125;338049.930975;999261.7954305;1574693.9574305;12.5;78;0;10.3;100;996.1;13.1;"Low";"Low";19.7;159;159;27.4;537.9;"Medium-High Consumption";2025;1;4;7;11;"Winter";1
87556.20822500001;154201.36935;333625.122025;1079763.5795995;1655146.2791994999;14.9;71;0;12.8;100;995.4;13.9;"Low";"Low";19.4;156;160;31;647.5;"Medium-High Consumption";2025;1;4;7;12;"Winter";1
85846.60465;158180.5555;324707.40842500003;1092782.63877225;1661517.20734725;15.1;72;0;12.8;100;994.7;17.3;"Low";"Low";24;161;163;34.6;690.1;"Medium-High Consumption";2025;1;4;7;13;"Winter";1
87562.7313;163050.781525;335020.548525;1081458.20476425;1667092.2661142498;15.4;73;0;13.100000000000001;100;993.8;18.1;"Low";"Low";25;161.75;164.5;35.1;662.9;"Medium-High Consumption";2025;1;4;7;14;"Winter";1
89234.075425;166176.392075;341887.28145;1062549.75671225;1659847.5056622499;15.6;72;0;13.4;100;993;16.2;"Low";"Low";22.5;156;156;35.6;610;"Medium-High Consumption";2025;1;4;7;15;"Winter";1
83999.401;169587.353975;352764.074875;1072740.06951125;1679090.89936125;16.2;71;0.1;13.7;91;992.7;11.2;"Low";"Low";20.4;174;179;31.7;411;"Medium-Low Consumption";2025;1;4;7;16;"Winter";1
75650.62825;172230.30735;363640.8683;1144421.328722;1755943.1326219998;15.1;75;0.1;14;100;992.3;9.4;"Low";"Low";18.3;160;170;19.8;203.4;"Medium-Low Consumption";2025;1;4;7;17;"Winter";1
56801.4103;168822.92285;365814.511675;1299230.42300225;1890669.26782725;13.85;87;0.2;11.9;100;992.1;12.1;"Low";"None";23.7;155;155;20.5;33.2;"Medium-Low Consumption";2025;1;4;7;18;"Winter";1
62049.875325;167349.203675;355741.744575;1366890.91025425;1952031.73382925;12.6;91;0;11;100;991.9;13;"None";"None";25.4;162;172;22.7;0;"High Consumption";2025;1;4;7;19;"Winter";1
73568.5192625;168796.49235;342186.047275;1358380.3361945;1942931.3950820002;11.8;95;0;10.1;100;991.8;13.6;"None";"None";26;160;169;23.4;0;"High Consumption";2025;1;4;7;20;"Winter";1
85087.16320000001;170938.13565;327495.404875;1269539.04948;1853059.753205;11.4;96;0;9.7;65;991.5;13.6;"None";"None";26.6;162;172;24.1;0;"Medium-Low Consumption";2025;1;4;7;21;"Winter";1
85197.234325;170907.3197125;309137.910775;1159812.1297785;1725054.594591;11.1;96;0;9.2;84;991.3;13.9;"None";"None";27.5;163;174;24.1;0;"Medium-Low Consumption";2025;1;4;7;22;"Winter";1
90896.708525;170876.503775;291632.294125;1030855.2650895;1584260.7715145;10.85;96;0;8.8;99;990.8;14.1;"None";"None";28.1;164;173;24.5;0;"Medium-High Consumption";2025;1;4;7;23;"Winter";1
87996.765775;172871.5599;278038.05432500003;890482.1745627499;1429388.5545627498;10.6;96;0;8.5;99;990.05;13.8;"None";"None";28;164;175;24.5;0;"Medium Consumption";2025;1;5;1;0;"Winter";0
90516.658225;172003.818425;269895.1781;790994.10630625;1323409.76105625;11.9;97;0;10.2;100;989.3;14.4;"None";"None";28.3;181;190;25.2;0;"Medium Consumption";2025;1;5;1;1;"Winter";0
87960.507;168741.23924999998;262290.671775;691506.03804975;1210498.45607475;11.8;97;0;9.9;85;988.5;15.3;"None";"None";29.3;178;186;26.6;0;"Low Consumption";2025;1;5;1;2;"Winter";0
90711.614425;169615.102175;258400.035425;646709.32359575;1165436.07562075;12.1;95;0;9.8;67;988.1;18;"None";"None";32.6;181;187;31;0;"Low Consumption";2025;1;5;1;3;"Winter";0
88978.622175;168869.82624999998;257077.969425;621859.24347425;1136785.66132425;11.8;95;0;9.6;100;987.375;17.5;"None";"None";32.2;175;180;31.7;0;"High Consumption";2025;1;5;1;4;"Winter";0
90886.75465;169303.239575;260725.783925;612350.0568075;1133265.8349575;11.4;96;0;9.1;91;986.6500000000001;17.6;"None";"None";32.3;166;173;31;0;"Low Consumption";2025;1;5;1;5;"Winter";0
89415.196875;170683.555075;276199.88025;619338.54922025;1155637.1814202499;11.600000000000001;95;0;8.8;100;985.9250000000001;19.9;"None";"None";35.2;170;175;34.6;0;"Low Consumption";2025;1;5;1;6;"Winter";0
88770.425275;173473.03635;289188.7317;645742.7567050001;1197174.95003;11.8;95;0;9;100;985.2;20.5;"None";"None";36.2;170;175;35.85;0;"Low Consumption";2025;1;5;1;7;"Winter";0
88125.65367500001;174134.024625;299655.0743;672146.96418975;1234061.71678975;12.1;91;0;9.5;100;984.9;20.3;"None";"None";34.8;170;170;37.1;5.3;"Low Consumption";2025;1;5;1;8;"Winter";0
68896.0705;173172.1215;307539.600125;789117.701806;1338725.4939310001;13.149999999999999;87;0;10.6;100;984.7;22;"Low";"Low";38.15;178;184;38.9;152.1;"Medium Consumption";2025;1;5;1;9;"Winter";0
79715.9339625;170414.517625;311475.5303;926369.45544925;1487975.4373367499;14.2;82;0.1;10.9;100;984.3;25.9;"Low";"Low";41.5;184;184;46.4;369.5;"Medium-High Consumption";2025;1;5;1;10;"Winter";0
90535.797425;171549.17625000002;315411.460475;1062931.2459145;1640427.6800645;13.6;91;2.2;10;100;984;29.1;"Low";"Low";47.5;190;192;52.9;575.6;"Medium-High Consumption";2025;1;5;1;11;"Winter";0
90005.68517499999;167521.867975;317513.6267;1179569.67957575;1754610.8594257499;13.4;93;3.2;10.1;100;983;28;"Low";"Low";45.5;194;195;53.6;649.2;"Medium-Low Consumption";2025;1;5;1;12;"Winter";0
90048.28755;166967.348125;309579.868925;1145398.1832656874;1711993.6878656875;13.6;96;2.4;10.7;100;982.1;26.3;"Low";"Low";42;210;211;50.4;692.4;"Medium-Low Consumption";2025;1;5;1;13;"Winter";0
88441.54605;167905.701275;306017.993025;1111226.686955625;1673591.9273056248;13.8;95;1.5;11.7;100;981.2;20.6;"Low";"Medium";38.95;213;213;48.6;665.7;"Medium-High Consumption";2025;1;5;1;14;"Winter";0
85955.417525;170638.1093625;310789.7491;1077055.1906455625;1644438.4666330623;13.9;92;0.8;11.4;100;980.9000000000001;22.9;"Low";"Low";35.9;217;217;42.1;570.9;"Medium-High Consumption";2025;1;5;1;15;"Winter";0
85457.352425;173370.51744999998;317301.02805;1042883.6943355;1619012.5922605;14.2;92;0.1;11.9;100;980.6;22.2;"Low";"Low";34.9;220;222;40.7;465.4;"Medium-High Consumption";2025;1;5;1;16;"Winter";0
77577.01392499999;176590.572425;328110.1496;1085621.65064525;1667899.38659525;13.9;94;0.1;11.8;91;980.5;20.75;"Low";"Low";34;219;220;39.6;207.1;"Medium-High Consumption";2025;1;5;1;17;"Winter";0
73484.780125;176525.4440875;335767.542975;1220554.942047;1806332.7092344998;13.8;95;0.1;11.9;100;980.8333333333334;19.3;"Low";"None";32.5;228;231;37.4;35.1;"Medium-Low Consumption";2025;1;5;1;18;"Winter";0
65485.66375;176460.31575;331029.671875;1300316.03710625;1873291.6884812498;13.2;95.5;0.1;11.1;100;981.1666666666666;19.8;"None";"None";33.6;242;242;36.4;0;"Medium-Low Consumption";2025;1;5;1;19;"Winter";0
61983.057700000005;172365.0537;323730.65067500004;1319395.6406905;1877474.4027655;13.1;96;0.1;11;100;981.5;19.7;"None";"None";32.9;232;232;35.3;0;"Medium-Low Consumption";2025;1;5;1;20;"Winter";0
81270.18552500001;172844.5421375;312890.930425;1236846.58368725;1803852.24177475;12.5;95;0;10;100;981.8;21.4;"None";"None";35.1;243;244;40;0;"Medium-Low Consumption";2025;1;5;1;21;"Winter";0
84148.318575;173324.03057499998;300779.112275;1109209.47054375;1667460.93196875;11.9;94;0;10.1;100;981.8;19.233333333333334;"None";"None";31.5;233;236;36.63333333333333;0;"Medium-High Consumption";2025;1;5;1;22;"Winter";0
88536.797475;176623.2511;291493.577825;952410.87766275;1509064.50406275;12.1;97;0.1;10.2;100;982.3;17.066666666666666;"None";"None";27.9;249;249;33.266666666666666;0;"Medium-High Consumption";2025;1;5;1;23;"Winter";0
84842.41775;179922.471625;291430.3389;810186.0959565;1366381.3242315;12.1;96;0;10.3;98;982;14.9;"None";"None";24.8;243;247;29.9;0;"Medium Consumption";2025;1;6;2;0;"Winter";0
90199.55755;179197.640875;294340.227425;699128.84715725;1262866.27300725;11.8;97;0.3;10.8;100;981;9.7;"None";"None";18.7;241;249;27.35;0;"Low Consumption";2025;1;6;2;1;"Winter";0
86586.07157500001;176316.770875;289806.93987500004;627371.50455425;1180081.28687925;11.4;97;1.4;9.7;100;980.9;13.9;"None";"None";25.2;248;248;24.8;0;"Low Consumption";2025;1;6;2;2;"Winter";0
91487.525175;176568.73485;290695.24975;590471.7185305;1149223.2283055;11;97;0.1;9.4;100;981.2;12.9;"None";"None";22.1;256;263;24.8;0;"Low Consumption";2025;1;6;2;3;"Winter";0
91044.3108375;178272.024775;291583.559625;576886.7005867499;1137786.59582425;10.7;97;0.2;9.1;100;981.2;11.9;"None";"None";23.75;247;247;27.4;0;"Low Consumption";2025;1;6;2;4;"Winter";0
90601.0965;181734.6606;306646.393875;583880.4141402501;1162862.5651152502;10.3;97;0.1;8.1;95;981.6;14.4;"None";"None";25.4;256;256;29.9;0;"Low Consumption";2025;1;6;2;5;"Winter";0
